Building Id,Cogent Market,Ranking,Address,Building/Node Name,City,State,Zip Code,On Net Date,On Net Status,Site Type
50072-0,Santa Clara,1,2970 Corvin Drive,Nap West Terremark/Verizo,Santa Clara,CA,95051,6/30/14,Lit,Carrier Neutral Data Center
50073-0,Santa Clara,1,3000 Corvin Drive,Nap West Terremrk/Verizon,Santa Clara,CA,95051,6/30/14,Lit,Carrier Neutral Data Center
50224-0,"Washington, DC",1,21111 Ridgetop Circle,CyrusOne Sterling,Sterling,VA,20166,3/18/15,Lit,Carrier Neutral Data Center
50634-1,Madrid,1,"Subestacion Electrica de REE, PD Majuelos Nuevos,",Cogent Data Center,San Sebastian de los Reyes,ES,28700,4/29/15,Lit,Cogent Data Center
51028-0,Frankfurt,1,Weismueller Strasse 36,Interxion FRA_8,Frankfurt,GM,60314,8/20/14,Lit,Carrier Neutral Data Center
51119-0,Columbus,1,535 Scherers Court,Cologix,Columbus,OH,43085,2/4/16,Lit,Carrier Neutral Data Center
51241-0,Rotterdam,1,Industriestraat 24,Greenhouse Datacenter,Naaldwijk,NL,2671CT,1/15/15,Lit,Carrier Neutral Data Center
51774-0,White Plains,1,1 Ramland Rd,Green House Data,Orangeburg,NY,10962,10/8/15,Lit,Carrier Neutral Data Center
51781-0,Montreal,1,2711 Avenue Dollard,Root DC,Montreal,QC,H8N2J8,3/25/15,Lit,Carrier Neutral Data Center
51790-0,Santa Clara,1,1101 Space Park,Colovore,Santa Clara,CA,95054,9/25/15,Lit,Carrier Neutral Data Center
52095-0,Chicago,1,9333 W Grand Ave,Digital Realty,Franklin Park,IL,60131,3/2/15,Lit,Carrier Neutral Data Center
52321-0,Katowice,1,Adamskiego 7,COI Hub - KTW01 - 4datacenter,Katowice,PO,40-069,5/14/15,Lit,Carrier Neutral Data Center
5287-0,Orlando,1,9701 S. John Young Pkwy,DataSite,Orlando,FL,32819,7/9/15,Lit,Carrier Neutral Data Center
52926-0,Chicago,1,9355 Grand Avenue,Digital Realty,Franklin Park,IL,60131,2/28/15,Lit,Carrier Neutral Data Center
52927-0,Chicago,1,9377 Grand Avenue,Digital Realty 9377,Franklin Park,IL,60131,3/2/15,Lit,Carrier Neutral Data Center
53425-0,Dublin,1,4033 Citywest Avenue,Citadel 100,Dublin,,Dublin 24,9/28/15,Lit,Carrier Neutral Data Center
53457-0,Skopje,1,Belasica 2,COI Hub - SKP02 - Akton Telehouse Center,Skopje,MK,1000,5/28/15,Lit,Carrier Neutral Data Center
5391-1,Sacramento,1,770 L St,COI Hub - SMF01 - SCRMCA1C,Sacramento,CA,95814,12/19/02,Lit,Cogent Hub
54090-0,Minneapolis,1,3255 Neil Armstrong Blvd,DataBank Data Center,Eagan,MN,55121,12/29/15,Lit,Carrier Neutral Data Center
54208-1,Bucharest,1,Sos. Fabrica de Glucoza 11 B,M247 Europe,Bucharest,RO,20331,5/18/15,Lit,Carrier Neutral Data Center
54249-0,Toronto,1,45 Parliament Street,Equinix TR2,Toronto,ON,M5A OG7,3/31/15,Lit,Carrier Neutral Data Center
54356-1,Hong Kong,1,"168 Yeung UK Road, Tsuen Wan NT",COI Pop - HKG01 - Equinix HK1,Hong Kong,CN,999077,6/8/15,Lit,Carrier Neutral Data Center
54362-0,Singapore,1,"20 Ayer Rajah Crescent, Ayer Rajah Industrial Park",COI Hub - SIN01 - Equinix SG1,Singapore,SG,139964,4/29/15,Lit,Carrier Neutral Data Center
54533-0,Dublin,1,"Unit 14 North West Business Park , Ballycoolin Roa",Telecity DUB 04,Dublin,,Dublin 15,2/4/16,Lit,Carrier Neutral Data Center
54756-0,Katowice,1,ul Jordana 25,Polish Energetic Networks (PSE),Katowice,PO,40-056,9/9/15,Lit,Carrier Neutral Data Center
54810-0,"Washington, DC",1,44060 Digital Loudoun Plaza,DRT Ashburn Campus- Building K,Ashburn,VA,20147,4/25/16,Lit,Carrier Neutral Data Center
54839-0,London,1,36-43 Great Sutton Street,COI Pop - LON17 - Volta Data Centres,London,0,EC1V 0AB,12/28/15,Lit,Carrier Neutral Data Center
55215-0,Antwerp,1,Haifastraat 6,Antwerp DC,Antwerp,BE,B 2030,7/29/15,Lit,Carrier Neutral Data Center
55435-0,Singapore,1,26A Ayer Rajah Crescent,Equinix SG3 IBX,Singapore,SG,139963,9/25/15,Lit,Carrier Neutral Data Center
56109-0,Podgorica,1,"str, Bratstva I Edinstva bb","COI Hub - TGD01 - Telekom CG, Pogorica",Podgorica,MG,0,7/24/15,Lit,Carrier Neutral Data Center
56527-0,Austin,1,7100 Metropolis Dr,Cyrus One - Met Center IV,Austin,TX,78744,10/9/15,Lit,Carrier Neutral Data Center
5655-1,Seattle,1,3101 Western Ave,Digital Fortress,Seattle,WA,98121,9/10/15,Lit,Carrier Neutral Data Center
56601-0,Santa Clara,2,1360 Kifer Road,CentralColo,Sunnyvale,CA,94086,7/15/16,Scheduled,Carrier Neutral Data Center
56604-0,Phoenix,1,1005 W Geneva Drive,Omnis Data Center,Tempe,AZ,85282,2/29/16,Lit,Carrier Neutral Data Center
5666-1,Tampa,1,655 N Franklin St 1000,365 Main TA1,Tampa,FL,33602,3/25/02,Lit,Carrier Neutral Data Center
56734-0,Houston,1,660 Greens Parkway,Data Foundry Houston 2,Houston,TX,77064,2/4/16,Lit,Carrier Neutral Data Center
56766-0,Slough-West London,1,352 Buckingham Avenue,Equinix LD6,Slough,UK,SL1 4PF,5/27/15,Lit,Carrier Neutral Data Center
56913-0,McAllen,1,900 1/2 Beech Avenue,COI Hub - MFE02 - VTXC CNDC,McAllen,TX,78501,5/20/16,Lit,Carrier Neutral Data Center
56940-0,Salt Lake City,1,14926 Pony Express Drive,C7 Data Centers-GP2,Bluffdale,UT,84065,9/9/15,Lit,Carrier Neutral Data Center
57273-0,Hong Kong,1,399 Chai Wan Road,COI Hub - HKG02 - Mega I Advantage,Chai Wan,,abcd 01,12/29/15,Lit,Carrier Neutral Data Center
57349-1,Portland,1,1233 NW 12th Avenue,VXCHNGE,Portland,OR,97209,3/17/16,Lit,Carrier Neutral Data Center
57442-1,Barcelona,1,C/Pablo Iglesias 56,BitNap,L Hospitalet de Llobregat,ES,8908,6/29/15,Lit,Carrier Neutral Data Center
57492-0,Singapore,2,2 Tai Seng Avenue,Global Switch Singapore 1,Singapore,SG,534408,7/15/16,Scheduled,Carrier Neutral Data Center
57551-0,Amsterdam,1,Cessnalaan 50,InterXion AMS7,Amsterdam,NL,1119,10/15/15,Lit,Carrier Neutral Data Center
577-1,Denver,1,4643 S Ulster St,Cogent Data Center,Denver,CO,80237,6/18/14,Lit,Cogent Data Center
57739-0,Singapore,2,29A International Business Park,Digital Realty Trust Jurong,Jurong,SG,534408,7/15/16,Scheduled,Carrier Neutral Data Center
57977-0,Providence,1,304 Carpenter Street,Prov.Net Data Center,Providence,RI,2909,2/18/16,Lit,Carrier Neutral Data Center
58292-0,Las Vegas,1,1541 Pama Lane,EdgeConnex,Las Vegas,NV,89119,12/22/15,Lit,Carrier Neutral Data Center
58293-0,Boise,1,9700 Bethel Court,Datasite Boise,Boise,ID,83709,3/30/16,Lit,Carrier Neutral Data Center
