peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL
,,,,Comcast ,,,,"3425 South 116th (Building 6, Suite 133)",,,,Tukwila,98168,WA,USA,,,,,,,,
,,,,Comcast ,,,,2 Ravinia Drive,,,,Atlanta,30343,GA,USA,,,,,,,,
,,,,Comcast ,,,,4311 Communications Drive,,,,Norcross,30093,GA,USA,,,,,,,,
,,,,Comcast ,,,,255 Caspian Drive,,,,Sunnyvale,94089,CA,USA,,,,,,,,
,,,,Comcast ,,,,707 SW Washington Street,Suite 935,,,Portland,97205,OR,USA,,,,,,,,
,,,,Comcast ,,,,3199 Pilot Knob Road,,,,Eagan,55121,MN,USA,,,,,,,,
,,,,Comcast ,,,,1275 K Street NW,Suite 700A,,,Washington,20005,DC,USA,,,,,,,,
,,,,Comcast ,,,,3825 NW Aloclek Place,,,,Hilsboro,97124,OR,USA,,,,,,,,
,,,,Comcast ,,,,250 Marquette Ave.,,,,Minneapolis,55401,MN,USA,,,,,,,,
,,,,Comcast ,,,,13935 Bishops Drive,,,,Brookfield,53005,WI,USA,,,,,,,,
,,,,Comcast ,,,,21721 Filigree Court,,,,Ashburn,20147,VA,USA,,,,,,,,
,,,,Comcast ,,,,15 Shattuck Road,,,,Andover,1810,MA,USA,,,,,,,,
,,,,Comcast ,,,,"74 West Street, 1st Floor",1st Floor,,,Waltham,2451,MA,USA,,,,,,,,
,,,,Comcast ,,,,80 Merritt Blvd (60?),,,,Trumball,,CT,USA,,,,,,,,
,,,,Comcast ,,,,2999 Gold Canal Road,,,,Rancho Cordova,95670,CA,USA,,,,,,,,
,,,,Comcast ,,,,8636 SPeoria,,,,Englewood,,CO,USA,,,,,,,,
,,,,Comcast ,,,,44521 Hastings Drive,,,,Ashburn,--,VA,USA,,,,,,,,
,,,,Comcast ,,,,45845 & 45901 Nokes Blvd,,,,Sterling,20164,VA,USA,,,,,,,,
,,,,Comcast ,,,,1101 Space Park Dr.,,,,Santa Clara,95054,CA,USA,,,,,,,,
,,,,Comcast ,,,,1124 Hardy Road,,,,Houston,77020,TX,USA,,,,,,,,
,,,,Comcast ,,,,2812 Spring Road SE Suite 210-212,Suite 210-212,,,Atlanta,30339,GA,USA,,,,,,,,
,,,,Comcast ,,,,4267 Meridian Parkway,,,,Aurora,,IL,USA,,,,,,,,
,,,,Comcast ,,,,180 Peachtree Street NW,3rd and 4th Floors,,,Atlanta,30303,GA,USA,,,,,,,,
,,,,Comcast ,,,,311 Eddy Lane,,,,Franklin,37064,TN,USA,,,,,,,,
