peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL,Colo Provider,Colo provider DC code,Optical Transport,IP and EtherCloud,Video
,,,,GTT,,,,8 Buckingham Av,Slough,,,London,SL1 4AX,,UK,,,,,,,,,Equinix,LD5,,x,
,,,,GTT,,,,8/9 Harbour Exchange Square,,,,London,E14 9GE,,UK,,,,,,,,,Equinix,LD8,x,x,
,,,,GTT,,,,80 Clifton Street,,,,London,EC2A 4HB,,UK,,,,,,,,,City LifeLine ,,,x,
,,,,GTT,,,,Harlequin Ave,,,,Brentford,TW8 9EW,,UK,,,,,,,,,Sky Studio,,,,x
,,,,GTT,,,,Isleworth,,,,London,TW7 5QD,,UK,,,,,,,,,Sky Broadcasting,,,,x
,,,,GTT,,,,Longwalk Rd,Hayes,,,Uxbridge,UB11 1FE,,UK,,,,,,,,,IMG Studio,,,,x
,,,,GTT,,,,Unit 1 Airport Gate Bath Road Harmondsworth,,,,London,UB7 0NA,,UK,,,,,,,,,Equinix,LD2,,x,
,,,,GTT,,,,"Unit 11 Matrix, 900 Coronation Road",,,,London,NW10 7PH,,UK,,,,,,,,,Equinix,LD3,,x,
,,,,GTT,,,,Kilburn House,,,,Manchester,M15 6SE,,UK,,,,,,,,,Equinix,MA1,,x,
,,,,GTT,,,,Williams House Manchester Science Park Lloyd St N,,,,Manchester,M15 6SE,,UK,,,,,,,,,Equinix,MA1,x,x,
,,,,GTT,,,,Nimrod Way,,,,Reading,RG2,,UK,,,,,,,,,Easynet,,x,,
,,,,GTT,,,,Southport Business Park,Wight Moss Way,,,Southport,PR8 4HQ,,UK,,,,,,,,,GTT (Hibernia),,x, ,
,,,,GTT,,,,132 Ketch Harbour Rd,,,,Herring Cove,B3V 1J4,NS,Canada,,,,,,,,,GTT (Hibernia),,x,ICB*,
,,,,GTT,,,,5562 Sackville St,,,,Halifax,B3J 1L1,NS,Canada,,,,,,,,,Interworking Atlantic,,x, ,
,,,,GTT,,,,7071 Bayers Rd,,,,Halifax,B3L 2C2,NS,Canada,,,,,,,,,GTT (Hibernia),,x, ,
,,,,GTT,,,,115 Albert St,,,,Moncton,E1C 1B3,NB,Canada,,,,,,,,,Bell Canada,,x,,
,,,,GTT,,,,770 St George Blvd,,,,Moncton,E1E 2C2,NB,Canada,,,,,,,,,Fibre Centre,,x, ,
,,,,GTT,,,,1250 Rene Levesque West,,,,Montrí©al,H3B 4W8,QC,Canada,,,,,,,,,Cologix,MTL3,x,x,x
,,,,GTT,,,,20 place du Commerce,Ile-des-Soeurs,,,Montrí©al,H3E 1T9,QC,Canada,,,,,,,,,iWeb,,,x,
,,,,GTT,,,,3000 Rene Levesque Blvd. West,,,,Montrí©al,H3E 1T9,QC,Canada,,,,,,,,,Cologix,MTL2,,x,
,,,,GTT,,,,625 Rene Levesque Blvd. West,,,,Montrí©al,H3B 1R2,QC,Canada,,,,,,,,,Cologix,MTL1,,x,
,,,,GTT,,,,875 Rue Saint Antoine O,,,,Montrí©al,H3C 1A6,QC,Canada,,,,,,,,,Metro Optic,,x, ,
,,,,GTT,,,,485 Terminal Ave,,,,Ottawa,K1G,ON,Canada,,,,,,,,,Bell Canada,,x,,
,,,,GTT,,,,75 Prince William St,,,,Saint John,E2L 2B2,NB,Canada,,,,,,,,,Cirrus 9,,x, ,
,,,,GTT,,,,100 Wellington St W,,,,Toronto,,ON,Canada,,,,,,,,,Q9 Networks,,x, ,
,,,,GTT,,,,130 King St W,,,,Toronto,M5X 1K6,ON,Canada,,,,,,,,,Exchange Tower,,,x,
,,,,GTT,,,,151 Front Street W,,,,Toronto,M5J 2N1,ON,Canada,,,,,,,,,Cologix,,x,x,x
,,,,GTT,,,,3500 Steeles Ave E,,,,Markham,L3R,ON,Canada,,,,,,,,,TD Waterhouse,,x, ,
