peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL
,,,,Level3,,Doraville 1,,6855 Crescent Drive,,,,Atlanta,30340,GA,USA,,,,,,,,
,,,,Level3,,Atlanta 6,,874 Dekalb Avenue,1st - 2nd Floor,,,Atlanta,30307,GA,USA,,,,,,,,
,,,,Level3,,Atlanta 5,,953 Donnelly Avenue SW,,,,Atlanta,30310,GA,USA,,,,,,,,
,,,,Level3,,College Park 1,,4311 Best Road,,,,College Park,30337,GA,USA,,,,,,,,
,,,,Level3,,Des Moines 1,,4550 Carlisle Road,,,,Pleasant Hill,50327,IA,USA,,,,,,,,
,,,,Level3,,Arlington Heights 1,,1305 E. Algonquin Road,,,,Arlington Heights,60005,IL,USA,,,,,,,,
,,,,Level3,,Broadview 1,,2101 Roberts Drive,,,,Broadview,60155,IL,USA,,,,,,,,
,,,,Level3,,Chicago 6,,101 N Wacker Drive,3rd Floor,,,Chicago,60606,IL,USA,,,,,,,,
,,,,Level3,,Chicago 1,,111 N. Canal St,,,,Chicago,60606,IL,USA,,,,,,,,
,,,,Level3,,Chicago 3,,200 N. LaSalle Street,,,,Chicago,60601,IL,USA,,,,,,,,
,,,,Level3,,Chicago 5,,600 S. Federal,Suite 600,,,Chicago,60605,IL,USA,,,,,,,,
,,,,Level3,,Chicago 4,,600 W. Chicago Ave.,Suite 325,,,Chicago,60610,IL,USA,,,,,,,,
,,,,Level3,,Chicago 2,,900 N. Kingsbury Street,"1st Floor, Level 3",,,Chicago,60610,IL,USA,,,,,,,,
,,,,Level3,,South Holland 1,,200 E 166th Street,,,,South Holland,60473,IL,USA,,,,,,,,
,,,,Level3,,Indianapolis 1,,1902 S East Street,,,,Indianapolis,46225,IN,USA,,,,,,,,
,,,,Level3,,Indianapolis 2,,700 W. Henry Street,1st Floor,,,Indianapolis,46225,IN,USA,,,,,,,,
,,,,Level3,,South Bend 1,,1140 Franklin Street,,,,South Bend,46601,IN,USA,,,,,,,,
,,,,Level3,,Louisville 2,,715 S 7th Street,,,,Louisville,40203,KY,USA,,,,,,,,
,,,,Level3,,Louisville 1,,848 S 8th Street,,,,Louisville,40203,KY,USA,,,,,,,,
,,,,Level3,,Baton Rouge 2,,9826 Burbank Dr.,,,,Baton Rouge,70810,LA,USA,,,,,,,,
,,,,Level3,,Metairie 1,,3220 Lausat Street,,,,Metairie,70001,LA,USA,,,,,,,,
,,,,Level3,,New Orleans 1,,639 Loyola,Suite 2020,,,New Orleans,70113,LA,USA,,,,,,,,
,,,,Level3,,Boston 1,,One Summer Street,,,,Boston,2110,MA,USA,,,,,,,,
,,,,Level3,,Cambridge 1,,300 Bent Street,,,,"Cambridge(Boston)",2141,MA,USA,,,,,,,,
,,,,Level3,,Springfield 1,,1 Federal Street,Building 104B,,,Springfield,1105,MA,USA,,,,,,,,
,,,,Level3,,Worcester 1,,474 Main Street,,,,Worcester,1608,MA,USA,,,,,,,,
,,,,Level3,,Baltimore 1,,300 W. Lexington Street,3rd Floor,,,Baltimore,21201,MD,USA,,,,,,,,
,,,,Level3,,Baltimore 4,,601 E Pratt Street,4th Floor,,,Baltimore,21202,MD,USA,,,,,,,,
,,,,Level3,,Detroit 3,,1965 Porter,,,,Detroit,48216,MI,USA,,,,,,,,
,,,,Level3,,Lansing 1,,1206 May Street,,,,Lansing,48216,MI,USA,,,,,,,,
,,,,Level3,,Detroit 1,,19675 West Ten Mile Road,2nd - 3rd Floor,,,Southfield,48906,MI,USA,,,,,,,,
,,,,Level3,,Detroit 4,,200 Galleria Officentre,2nd Floor,,,Southfield,48034,MI,USA,,,,,,,,
,,,,Level3,,Minneapolis 1,,222 S 9th Street,Suite 700,,,Minneapolis,55402,MN,USA,,,,,,,,
,,,,Level3,,Minneapolis 2,,511 11th Avenue South,Suite 210,,,Minneapolis,55415,MN,USA,,,,,,,,
,,,,Level3,,Minneapolis 3,,715 N 2nd St,,,,Minneapolis,55401,MN,USA,,,,,,,,
,,,,Level3,,Columbia 1,,3201 Falling Leaf Court,,,,Columbia,65201,MO,USA,,,,,,,,
,,,,Level3,,Kansas City 2,,1100 Main Street,14th Floor,,,Kansas City,64105,MO,USA,,,,,,,,
,,,,Level3,,Kansas City 1,,1100 Walnut Street,Suite 500,,,Kansas City,64105,MO,USA,,,,,,,,
,,,,Level3,,Kansas City 4,,1102 Grand Blvd,Suite 300,,,Kansas City,64106,MO,USA,,,,,,,,
,,,,Level3,,Kansas City 3,,1212 E 19th Street,Suite 100,,,Kansas City,64108,MO,USA,,,,,,,,
,,,,Level3,,St. Louis 1,,1015 Locust Street,,,,St. Louis,63101,MO,USA,,,,,,,,
,,,,Level3,,St. Louis 2,,"900 Walnut Street, ",Suite 124,,,St. Louis,63102,MO,USA,,,,,,,,
,,,,Level3,,Jackson 1,,111 E Capitol Street,Suite 248,,,Jackson,39201,MS,USA,,,,,,,,
,,,,Level3,,Charlotte 3,,1027 N Church Street,,,,Charlotte,28206,NC,USA,,,,,,,,
,,,,Level3,,Charlotte 2,,112 N. Myers Street,,,,Charlotte,28202,NC,USA,,,,,,,,
,,,,Level3,,Charlotte 1,,4021 Rose Lake Drive,,,,Charlotte,28217,NC,USA,,,,,,,,
,,,,Level3,,Greensboro 1,,201 E Creekridge Road,,,,Greensboro,27406,NC,USA,,,,,,,,
,,,,Level3,,Raleigh 2,,1918 Wake Forest Road,,,,Raleigh,27608,NC,USA,,,,,,,,
,,,,Level3,,Raleigh 3,,3440 Tarheel Drive,Suite 105,,,Raleigh,27609,NC,USA,,,,,,,,
,,,,Level3,,Raleigh 1,,5301 Departure Drive,,,,Raleigh,27616,NC,USA,,,,,,,,
,,,,Level3,,Omaha DC,,6805 Pine Street,,,,Omaha,68106,NE,USA,,,,,,,,
,,,,Level3,,Bellevue 1,,1514 Chandler Road,,,,W. Bellevue,68147,NE,USA,,,,,,,,
,,,,Level3,,Monmouth Junction 1,,"4260 US Route 1 North Monmouth Junction",,,,Monmouth Junction,8852,NJ,USA,,,,,,,,
,,,,Level3,,Newark 2,,1085 Raymond Boulevard,6th - 7th Floor,,,Newark,7102,NJ,USA,,,,,,,,
,,,,Level3,,Newark 3,,165 Halsey Street,Suite 625,,,Newark,7102,NJ,USA,,,,,,,,
,,,,Level3,,Newark 1,,165 Halsey Street,7th Floor,,,Newark,7102,NJ,USA,,,,,,,,
,,,,Level3,,Weehawken 1,,300 Boulevard East,,,,Weehawken,7087,NJ,USA,,,,,,,,
,,,,Level3,,Santa Teresa 1,,175 Harrier Drive,,,,Santa Teresa,88008,NM,USA,,,,,,,,
,,,,Level3,,Las Vegas 1,,1 Aerojet Way North,,,,Las Vegas,89030,NV,USA,,,,,,,,
,,,,Level3,,Las Vegas 2,,4485 E Sahara,,,,Las Vegas,89104,NV,USA,,,,,,,,
,,,,Level3,,Reno 1,,220 Gardner Street,,,,Reno,89503,NV,USA,,,,,,,,
,,,,Level3,,Albany 3,,11 North Pearl Street,19th Floor,,,Albany,12207,NY,USA,,,,,,,,
,,,,Level3,,Albany 2,,194 Washington Avenue,Suite 510,,,Albany,12210,NY,USA,,,,,,,,
,,,,Level3,,Albany 1,,316 North Pearl Street,,,,Albany,12207,NY,USA,,,,,,,,
,,,,Level3,,Buffalo 1,,240 Scott Street,,,,Buffalo,14204,NY,USA,,,,,,,,
,,,,Level3,,Buffalo 2,,325 Delaware Avenue,,,,Buffalo,14204,NY,USA,,,,,,,,
,,,,Level3,,Buffalo 3,,715 Delaware Avenue,1st Floor,,,Buffalo,14209,NY,USA,,,,,,,,
,,,,Level3,,East Syracuse 1,,6007 Fair Lakes Rd,,,,East Syracuse,13057,NY,USA,,,,,,,,
,,,,Level3,,New York 1,,111 8th Avenue ,,,,New York,10011,NY,USA,,,,,,,,
,,,,Level3,,New York 7,,601 W 26th Street,,,,New York,10001,NY,USA,,,,,,,,
,,,,Level3,,Garden City 1,,71 Clinton Road,,,,Garden City,11530,NY,USA,,,,,,,,
,,,,Level3,,New York 2,,85 10th Avenue,5th Floor,,,New York,10011,NY,USA,,,,,,,,
,,,,Level3,,New York 2a,,85 10th Avenue,6th Floor,,,New York,10011,NY,USA,,,,,,,,
,,,,Level3,,Rochester 2,,1 Main Street W ,6th Floor,,,Rochester,14614,NY,USA,,,,,,,,
,,,,Level3,,Rochester 1,,95 Fitzhugh Street North,1st Floor,,,Rochester,14614,NY,USA,,,,,,,,
,,,,Level3,,Syracuse 1,,2 Clinton Square,Suite L-40,,,Syracuse,13202,NY,USA,,,,,,,,
,,,,Level3,,Akron 2,,110 S Arlington Street,1st Floor,,,Akron,44306,OH,USA,,,,,,,,
,,,,Level3,,Cincinnati 3,,1428 W. 8th Street,,,,Cincinnati,45203,OH,USA,,,,,,,,
,,,,Level3,,Cincinnati 1,,400 Pike Street ,,,,Cincinnati,45202,OH,USA,,,,,,,,
,,,,Level3,,Cleveland 2,,1228 Euclid,Suite 1010,,,Cleveland,44115,OH,USA,,,,,,,,
,,,,Level3,,Cleveland 5,,15467 Neo Pkwy,,,,Cleveland,44128,OH,USA,,,,,,,,
,,,,Level3,,Cleveland 4,,1621 Euclid Avenue,Suite 518 -WT,,,Cleveland,44115,OH,USA,,,,,,,,
,,,,Level3,,Cleveland 3,,1621 Euclid Avenue,Suite 712 - ICG,,,Cleveland,44115,OH,USA,,,,,,,,
,,,,Level3,,Cleveland 1,,4000 Chester Avenue,Suite 0000,,,Cleveland,44145,OH,USA,,,,,,,,
,,,,Level3,,Cleveland 6,,4000 Chester Avenue,Suite 122,,,Cleveland,44145,OH,USA,,,,,,,,
,,,,Level3,,Columbus 3,,226 N 5th Street,Suite 100,,,Columbus,43215,OH,USA,,,,,,,,
,,,,Level3,,Dayton 2,,130 W 2nd Street,,,,Dayton,45402,OH,USA,,,,,,,,
,,,,Level3,,Dayton 1,,600 S Broadway Street,,,,Dayton,45408,OH,USA,,,,,,,,
,,,,Level3,,Oklahoma City 1,,201 Robert S Kerr Blvd.,Suite 220,,,Oklahoma City,73102,OK,USA,,,,,,,,
,,,,Level3,,Tulsa 1,,18 W. Archer Street,,,,Tulsa,74103,OK,USA,,,,,,,,
,,,,Level3,,Bandon 1,,96614 Wickizer Way,,,,Bandon,97411,OR,USA,,,,,,,,
,,,,Level3,,Eugene 1,,1745 W 5th Avenue,Unit H,,,Eugene,97402,OR,USA,,,,,,,,
,,,,Level3,,Eugene 2,,90470 Prairie Rd,,,,Eugene,97402,OR,USA,,,,,,,,
,,,,Level3,,Portland 1,,1335 NW Northrup Street,,,,Portland,97209,OR,USA,,,,,,,,
,,,,Level3,,Portland 2,,707 SW Washington Ave,Suite 405,,,Portland,97205,OR,USA,,,,,,,,
,,,,Level3,,Lancaster 1,,1720 Hempstead Rd,,,,Lancaster,17601,PA,USA,,,,,,,,
,,,,Level3,,Philadelphia 4,,2401 Locust Street,Suite 401,,,Philadelphia,19103,PA,USA,,,,,,,,
,,,,Level3,,Philadelphia 3,,3020 Market Street,,,,Philadelphia,19104,PA,USA,,,,,,,,
,,,,Level3,,Philadelphia 1,,401 N. Broad Street,Suite 310,,,Philadelphia,19108,PA,USA,,,,,,,,
,,,,Level3,,Philadelphia 2,,701 Market Street,Suite Lower Level,,,Philadelphia,19106,PA,USA,,,,,,,,
,,,,Level3,,Pittsburgh 1,,143 S 25th Street,,,,Pittsburgh,15023,PA,USA,,,,,,,,
,,,,Level3,,Pittsburgh 2,,200 Technology Drive,,,,Pittsburgh,15219,PA,USA,,,,,,,,
